,Date,Open,High,Low,Close,Volume
97,03/01/2021,"2,056.52","2,086.52","2,046.10","2,081.51","1,405,115"
98,02/26/2021,"2,050.52","2,071.01","2,016.06","2,036.86","2,083,801"
99,02/25/2021,"2,067.45","2,094.88","2,021.29","2,031.36","1,828,432"
100,02/24/2021,"2,041.83","2,100.78","2,038.13","2,095.17","1,248,349"
101,02/23/2021,"2,025.01","2,082.01","2,002.02","2,070.86","1,667,377"
102,02/22/2021,"2,067.00","2,091.42","2,062.14","2,064.88","1,367,533"
103,02/19/2021,"2,119.27","2,130.53","2,097.41","2,101.14","1,457,612"
104,02/18/2021,"2,110.39","2,132.74","2,103.71","2,117.20","1,121,855"
105,02/17/2021,"2,100.00","2,133.66","2,098.92","2,128.31","1,070,941"
106,02/16/2021,"2,104.36","2,152.68","2,104.36","2,121.90","1,133,838"
107,02/12/2021,"2,090.25","2,108.82","2,083.13","2,104.11","855,865"
108,02/11/2021,"2,099.51","2,102.03","2,077.32","2,095.89","945,650"
109,02/10/2021,"2,094.21","2,108.37","2,063.09","2,095.38","1,135,464"
110,02/09/2021,"2,078.54","2,105.13","2,078.54","2,083.51","889,850"
111,02/08/2021,"2,105.91","2,123.55","2,072.00","2,092.91","1,242,411"
112,02/05/2021,"2,070.00","2,102.51","2,059.33","2,098.00","1,535,135"
113,02/04/2021,"2,068.89","2,078.55","2,042.59","2,062.37","1,852,329"
114,02/03/2021,"2,073.00","2,116.50","2,018.38","2,070.07","4,118,170"
115,02/02/2021,"1,922.56","1,955.76","1,914.49","1,927.51","2,273,723"
116,02/01/2021,"1,853.57","1,922.39","1,850.93","1,901.35","1,602,182"
117,01/29/2021,"1,846.17","1,857.28","1,810.20","1,835.74","1,612,552"
118,01/28/2021,"1,843.94","1,898.83","1,842.64","1,863.11","1,773,138"
119,01/27/2021,"1,882.53","1,890.00","1,809.00","1,830.79","2,748,292"
120,01/26/2021,"1,888.84","1,925.00","1,884.25","1,917.24","1,313,139"
121,01/25/2021,"1,920.67","1,929.58","1,867.53","1,899.40","1,927,320"
122,01/22/2021,"1,895.68","1,910.95","1,881.76","1,901.05","1,272,232"
123,01/21/2021,"1,898.00","1,934.86","1,887.11","1,891.25","2,063,932"
124,01/20/2021,"1,831.46","1,903.71","1,825.53","1,886.90","2,490,258"
125,01/19/2021,"1,752.25","1,809.28","1,741.46","1,790.86","1,734,614"
126,01/15/2021,"1,738.19","1,756.00","1,721.55","1,736.19","1,342,170"
127,01/14/2021,"1,753.62","1,775.01","1,733.40","1,740.18","1,179,477"
128,01/13/2021,"1,738.58","1,765.04","1,738.01","1,754.40","1,094,131"
129,01/12/2021,"1,753.92","1,778.04","1,725.31","1,746.55","1,357,691"
130,01/11/2021,"1,786.07","1,794.32","1,760.52","1,766.72","1,209,735"
131,01/08/2021,"1,787.98","1,809.84","1,773.54","1,807.21","2,051,002"
132,01/07/2021,"1,740.06","1,788.40","1,737.05","1,787.25","2,265,022"
133,01/06/2021,"1,702.63","1,748.00","1,699.00","1,735.29","2,602,114"
134,01/05/2021,"1,725.00","1,747.67","1,718.02","1,740.92","1,145,347"
135,01/04/2021,"1,757.54","1,760.65","1,707.85","1,728.24","1,901,855"
136,12/31/2020,"1,735.42","1,758.93","1,735.42","1,751.88","1,012,240"
137,12/30/2020,"1,762.01","1,765.10","1,725.60","1,739.52","1,306,130"
138,12/29/2020,"1,787.79","1,792.44","1,756.09","1,758.72","1,299,395"
139,12/28/2020,"1,751.64","1,790.73","1,746.34","1,776.09","1,393,033"
140,12/24/2020,"1,735.00","1,746.00","1,729.11","1,738.85","346,753"
141,12/23/2020,"1,728.11","1,747.99","1,725.04","1,732.38","1,033,917"
142,12/22/2020,"1,734.43","1,737.41","1,712.58","1,723.50","938,346"
143,12/21/2020,"1,713.51","1,740.85","1,699.00","1,739.37","1,828,378"
144,12/18/2020,"1,754.18","1,755.11","1,720.22","1,731.01","4,016,353"
145,12/17/2020,"1,768.51","1,771.78","1,738.66","1,747.90","1,624,744"
146,12/16/2020,"1,772.88","1,773.00","1,756.08","1,763.00","1,513,543"
147,12/15/2020,"1,764.42","1,771.42","1,749.95","1,767.77","1,482,261"
148,12/14/2020,"1,775.00","1,797.39","1,757.22","1,760.06","1,600,173"
149,12/11/2020,"1,763.06","1,784.45","1,760.00","1,781.77","1,220,651"
150,12/10/2020,"1,769.80","1,781.31","1,740.32","1,775.33","1,362,848"
151,12/09/2020,"1,812.01","1,834.27","1,767.81","1,784.13","1,507,558"
152,12/08/2020,"1,810.10","1,821.90","1,796.21","1,818.55","1,096,319"
153,12/07/2020,"1,819.00","1,832.37","1,805.78","1,819.48","1,320,946"
154,12/04/2020,"1,824.52","1,833.16","1,816.99","1,827.99","1,378,166"
155,12/03/2020,"1,824.01","1,847.20","1,822.65","1,826.77","1,227,298"
156,12/02/2020,"1,798.10","1,835.65","1,789.47","1,827.95","1,222,032"
157,12/01/2020,"1,774.37","1,824.83","1,769.37","1,798.10","1,739,045"
158,11/30/2020,"1,781.18","1,788.07","1,755.00","1,760.74","1,823,836"
159,11/27/2020,"1,773.09","1,804.00","1,772.44","1,793.19","884,916"
160,11/25/2020,"1,772.89","1,778.54","1,756.54","1,771.43","1,046,122"
161,11/24/2020,"1,730.50","1,771.60","1,727.69","1,768.88","1,579,703"
162,11/23/2020,"1,749.60","1,753.90","1,717.72","1,734.86","2,161,975"
163,11/20/2020,"1,765.21","1,774.00","1,741.86","1,742.19","2,313,655"
164,11/19/2020,"1,738.38","1,769.59","1,737.01","1,763.92","1,249,910"
165,11/18/2020,"1,765.23","1,773.47","1,746.14","1,746.78","1,173,466"
166,11/17/2020,"1,776.94","1,785.00","1,767.00","1,770.15","1,147,114"
167,11/16/2020,"1,771.70","1,799.07","1,767.69","1,781.38","1,246,785"
168,11/13/2020,"1,757.63","1,781.04","1,744.55","1,777.02","1,500,574"
169,11/12/2020,"1,747.63","1,768.27","1,745.60","1,749.84","1,248,754"
170,11/11/2020,"1,750.00","1,764.22","1,747.37","1,752.71","1,263,966"
171,11/10/2020,"1,731.09","1,763.00","1,717.30","1,740.39","2,636,142"
172,11/09/2020,"1,790.90","1,818.06","1,760.02","1,763.00","2,268,270"
173,11/06/2020,"1,753.95","1,772.43","1,740.35","1,761.75","1,661,225"
174,11/05/2020,"1,781.00","1,793.64","1,750.51","1,763.37","2,065,812"
175,11/04/2020,"1,710.28","1,771.37","1,706.03","1,749.13","3,570,927"
176,11/03/2020,"1,631.78","1,661.70","1,616.62","1,650.21","1,661,653"
177,11/02/2020,"1,628.16","1,660.77","1,616.03","1,626.03","2,535,446"
178,10/30/2020,"1,672.11","1,687.00","1,604.46","1,621.01","4,330,862"
179,10/29/2020,"1,522.36","1,593.71","1,522.24","1,567.24","2,003,064"
180,10/28/2020,"1,559.74","1,561.35","1,514.62","1,516.62","1,833,959"
181,10/27/2020,"1,595.67","1,606.85","1,582.78","1,604.26","1,229,002"
182,10/26/2020,"1,625.01","1,638.24","1,576.50","1,590.45","1,853,254"
183,10/23/2020,"1,626.07","1,642.36","1,620.51","1,641.00","1,375,844"
184,10/22/2020,"1,593.05","1,621.99","1,585.00","1,615.33","1,434,042"
185,10/21/2020,"1,573.33","1,618.73","1,571.63","1,593.31","2,568,345"
186,10/20/2020,"1,527.05","1,577.50","1,525.67","1,555.93","2,242,572"
